node_id	namespace	identifier	name	type
69	umls	C0152020	Gastric atony	phenotype
70	umls	C0522063	Impaired gastric emptying	phenotype
71	umls	C0231528	Myalgia	phenotype
72	umls	C0948594	Musculoskeletal discomfort	phenotype
73	umls	C0426576	Gastrointestinal symptom NOS	phenotype
74	umls	C0522055	Electrocardiogram abnormal	phenotype
75	umls	C0546817	Fluid overload	phenotype
76	umls	C0917801	Insomnia	phenotype
77	umls	C0947912	Myasthenia	phenotype
78	umls	C0151786	Muscular weakness	phenotype
79	umls	C1510472	Drug dependence	phenotype
80	pubchem.compound	119	gamma-Aminobutyric acid	approved drug
81	umls	C0002792	Anaphylactic shock	phenotype
82	umls	C0002994	Angioedema	phenotype
83	umls	C0042109	Urticaria	phenotype
84	umls	C0863083	Injection site tenderness	phenotype
85	umls	C0151828	Injection site pain	phenotype
86	pubchem.compound	137	Aminolevulinic acid	approved drug
87	umls	C0003537	Aphasia	phenotype
88	umls	C0004936	Mental disorder	phenotype
89	umls	C0006118	Brain neoplasm	phenotype
90	umls	C0013604	Oedema	phenotype
91	umls	C0015256	Excoriation	phenotype
92	umls	C0017638	Glioma	phenotype
93	umls	C0018799	Cardiac disorder	phenotype
94	umls	C0018979	Hemianopia	phenotype
95	umls	C0018989	Hemiparesis	phenotype
96	umls	C0019348	Herpes simplex	phenotype
97	umls	C0020429	Hyperpathia	phenotype
98	umls	C0020453	Hyperaesthesia	phenotype
99	umls	C0020580	Hypoaesthesia	phenotype
100	umls	C0023518	Leukocytosis	phenotype
101	umls	C0027651	Neoplasm	phenotype
102	umls	C0027765	Nervous system disorder	phenotype
103	umls	C0027769	Nervousness	phenotype
104	umls	C0233494	Tension	phenotype
105	umls	C0031256	Petechiae	phenotype
106	umls	C0035229	Respiratory insufficiency	phenotype
107	umls	C1145670	Respiratory failure	phenotype
108	umls	C0036508	Seborrhoeic dermatitis	phenotype
109	umls	C0037274	Skin disorder	phenotype
110	umls	C0038814	Sunburn	phenotype
111	umls	C0162830	Photosensitivity reaction	phenotype
112	umls	C0040034	Thrombocytopenia	phenotype
113	umls	C0040038	Thromboembolism	phenotype
114	umls	C0013922	Embolism	phenotype
115	umls	C0340726	Embolism venous	phenotype
116	umls	C0041582	Ulcer	phenotype
117	umls	C0041834	Erythema	phenotype
118	umls	C0085593	Chills	phenotype
119	umls	C0085641	Rash pustular	phenotype
120	umls	C0151505	Application site reaction	phenotype
121	umls	C0151662	Gamma-glutamyltransferase increased	phenotype
122	umls	C0151717	Skin hypertrophy	phenotype
123	umls	C0151904	Aspartate aminotransferase increased	phenotype
124	umls	C0151905	Alanine aminotransferase increased	phenotype
125	umls	C0151908	Dry skin	phenotype
126	umls	C0162285	Eyelid oedema	phenotype
127	umls	C0162834	Skin hyperpigmentation	phenotype
128	umls	C0162835	Leukoderma	phenotype
129	umls	C0178298	Unspecified disorder of skin and subcutaneous tissue	phenotype
130	umls	C0205204	Scab	phenotype
131	umls	C0221232	Welts	phenotype
132	umls	C0234215	Discomfort	phenotype
133	umls	C0234233	Tenderness	phenotype
134	umls	C0237849	Skin exfoliation	phenotype
135	umls	C0241157	Pustule	phenotype
136	umls	C0241166	Skin tightness	phenotype
137	umls	C0267792	Hepatobiliary disease	phenotype
138	umls	C0311468	Blood bilirubin increased	phenotype
139	umls	C0332534	Induration	phenotype
140	umls	C0349506	Photosensitivity	phenotype
141	umls	C0392197	Warmth	phenotype
142	umls	C2939147	Feeling hot	phenotype
143	umls	C0392699	Dysaesthesia	phenotype
144	umls	C0406834	Wound secretion	phenotype
145	umls	C0423791	Rash maculo-papular	phenotype
146	umls	C0521490	Application site irritation	phenotype
147	umls	C0677500	Stinging	phenotype
148	umls	C0699893	Skin carcinoma	phenotype
149	umls	C0007114	Skin cancer	phenotype
150	umls	C0702166	Acne	phenotype
151	umls	C0851341	Infestation NOS	phenotype
152	umls	C1384353	Infestation	phenotype
153	umls	C0852913	Blood amylase increased	phenotype
154	umls	C0151479	Amylase increased	phenotype
155	umls	C0857807	Accidental ingestion	phenotype
156	umls	C3544060	Accidental exposure to product	phenotype
157	umls	C0870082	Hyperkeratosis	phenotype
158	umls	C0920193	Photodermatosis	phenotype
159	umls	C1527311	Brain oedema	phenotype
160	umls	C1698818	Photodamaged skin	phenotype
161	pubchem.compound	149436	Levoleucovorin	approved drug
162	umls	C0002170	Alopecia	phenotype
163	umls	C0015376	Extravasation	phenotype
164	umls	C0015672	Fatigue	phenotype
165	umls	C0023380	Lethargy	phenotype
166	umls	C0023530	Leukopenia	phenotype
167	umls	C0038362	Stomatitis	phenotype
168	umls	C0043144	Wheezing	phenotype
169	umls	C0231218	Malaise	phenotype
170	umls	C1443060	Feeling abnormal	phenotype
171	umls	C2047937	Ill-defined disorder	phenotype
172	umls	C0340865	Anaphylactoid reaction	phenotype
173	umls	C0700225	Serum creatinine increased	phenotype
174	umls	C0235431	Blood creatinine increased	phenotype
175	umls	C0746883	Febrile neutropenia	phenotype
176	umls	C1325847	Sensitisation	phenotype
177	umls	C2609414	Acute kidney injury	phenotype
178	umls	C0022660	Renal failure acute	phenotype
179	umls	C0039070	Syncope	phenotype
180	umls	C0041657	Loss of consciousness	phenotype
181	umls	C0036974	Shock	phenotype
182	umls	C0009676	Confusional state	phenotype
183	umls	C0151746	Kidney function abnormal	phenotype
184	umls	C1565489	Renal impairment	phenotype
185	umls	C0232492	Abdominal pain upper	phenotype
186	umls	C0232495	Abdominal pain lower	phenotype
187	umls	C0232498	Abdominal tenderness	phenotype
188	umls	C0242656	Disease progression	phenotype
189	umls	C0267537	Caecitis	phenotype
190	umls	C0424790	Rigors	phenotype
191	umls	C0442874	Neuropathy	phenotype
192	umls	C0031117	Neuropathy peripheral	phenotype
193	pubchem.compound	444412	Levomefolic acid	approved drug
194	pubchem.compound	5280360	Dinoprostone	approved drug
195	umls	C0000832	Premature separation of placenta	phenotype
196	umls	C0003862	Arthralgia	phenotype
197	umls	C0004096	Asthma	phenotype
198	umls	C0006266	Bronchospasm	phenotype
199	umls	C0011175	Dehydration	phenotype
200	umls	C0012739	Disseminated intravascular coagulation	phenotype
201	umls	C0013927	Amniotic fluid embolism	phenotype
202	umls	C1868769	Anaphylactoid syndrome of pregnancy	phenotype
203	umls	C0014179	Endometritis	phenotype
204	umls	C0015930	Foetal distress syndrome	phenotype
205	umls	C0016382	Flushing	phenotype
206	umls	C0018790	Cardiac arrest	phenotype
207	umls	C0018811	Foetal heart rate	phenotype
208	umls	C0019521	Hiccups	phenotype
209	umls	C0021053	Immune system disorder	phenotype
210	umls	C0021368	Inflammation	phenotype
211	umls	C0023067	Laryngitis	phenotype
212	umls	C0026821	Cramp muscle	phenotype
213	umls	C0027051	Myocardial infarction	phenotype
214	umls	C0948089	Acute coronary syndrome	phenotype
215	umls	C0032797	Postpartum haemorrhage	phenotype
216	umls	C0032961	Pregnancy	phenotype
217	umls	C0036973	Shivering	phenotype
218	umls	C0040822	Tremor	phenotype
219	umls	C0042143	Uterine rupture	phenotype
220	umls	C0042267	Vaginal inflammation	phenotype
221	umls	C0404521	Vaginal infection	phenotype
222	umls	C0042996	Vulvitis	phenotype
223	umls	C0079043	Bronchoconstriction	phenotype
224	umls	C0080274	Urinary retention	phenotype
225	umls	C0151315	Neck stiffness	phenotype
226	umls	C0948525	Musculoskeletal stiffness	phenotype
227	umls	C1320474	Nuchal rigidity	phenotype
228	umls	C0151604	Oedema genital	phenotype
229	umls	C0151827	Eye pain	phenotype
230	umls	C0151907	Skin discolouration	phenotype
231	umls	C0232292	Chest tightness	phenotype
232	umls	C0235710	Chest discomfort	phenotype
233	umls	C0236082	Vaginal pain	phenotype
234	umls	C0520588	Vulvovaginal pain	phenotype
235	umls	C0262397	Breast tenderness	phenotype
236	umls	C0269806	Failed induction of labour	phenotype
237	umls	C0269842	Uterine hypertonus	phenotype
238	umls	C0344232	Vision blurred	phenotype
239	umls	C0392618	Postoperative infection	phenotype
240	umls	C1868855	Post procedural infection	phenotype
241	umls	C0410916	Death neonatal	phenotype
242	umls	C0424535	Vasovagal symptoms	phenotype
243	umls	C0700200	Presyncope	phenotype
244	umls	C0558368	Vaginal irritation	phenotype
245	umls	C0520587	Vulvovaginal discomfort	phenotype
246	umls	C0595939	Stillbirth	phenotype
247	umls	C0600142	Hot flush	phenotype
248	umls	C0236075	Menopausal symptoms	phenotype
249	umls	C0700590	Sweating increased	phenotype
250	umls	C0020458	Hyperhidrosis	phenotype
251	umls	C1384666	Hearing impaired	phenotype
252	umls	C0011053	Deafness	phenotype
253	umls	C2004487	Vaginismus	phenotype
254	pubchem.compound	5280427	Epoprostenol	approved drug
255	umls	C0003864	Arthritis	phenotype
256	umls	C0003962	Ascites	phenotype
257	umls	C0007642	Cellulitis	phenotype
258	umls	C0007859	Neck pain	phenotype
259	umls	C0009326	Collagen disorder	phenotype
260	umls	C0009782	Connective tissue disorder	phenotype
261	umls	C0010520	Cyanosis	phenotype
262	umls	C0013595	Eczema	phenotype
263	umls	C0014130	Endocrine disorder	phenotype
264	umls	C0014591	Epistaxis	phenotype
265	umls	C0016204	Flatulence	phenotype
266	umls	C0018801	Cardiac failure	phenotype
267	umls	C0018965	Haematuria	phenotype
268	umls	C0019123	Haemothorax	phenotype
269	umls	C0020532	Hypersplenism	phenotype
270	umls	C0020550	Hyperthyroidism	phenotype
271	umls	C0020651	Orthostatic hypotension	phenotype
272	umls	C0025061	Mediastinal disorder	phenotype
273	umls	C0026858	Musculoskeletal pain	phenotype
274	umls	C0030232	Pallor	phenotype
275	umls	C0030312	Pancytopenia	phenotype
276	umls	C0032227	Pleural effusion	phenotype
277	umls	C0032285	Pneumonia	phenotype
278	umls	C0032326	Pneumothorax	phenotype
279	umls	C0034063	Pulmonary oedema	phenotype
280	umls	C0034065	Pulmonary embolism	phenotype
281	umls	C0036690	Septicemia	phenotype
282	umls	C0243026	Sepsis	phenotype
283	umls	C0037299	Skin ulcer	phenotype
284	umls	C0038002	Splenomegaly	phenotype
285	umls	C0038990	Sweating	phenotype
286	umls	C0039971	Thirst	phenotype
287	umls	C0042401	Vasodilation	phenotype
288	umls	C1142412	Vasodilation procedure	phenotype
289	umls	C0043352	Dry mouth	phenotype
290	umls	C0085096	Peripheral vascular disorder	phenotype
291	umls	C0085605	Hepatic failure	phenotype
292	umls	C0085631	Agitation	phenotype
293	umls	C0086525	Lassitude	phenotype
294	umls	C0232487	Abdominal discomfort	phenotype
295	umls	C0232488	Abdominal colic	phenotype
296	umls	C0235527	Cardiac failure right	phenotype
297	umls	C2939447	Right ventricular failure	phenotype
298	umls	C0236000	Pain in jaw	phenotype
299	umls	C0242184	Hypoxia	phenotype
300	umls	C0267596	Rectal haemorrhage	phenotype
301	umls	C0270458	Psychotic depression	phenotype
302	umls	C1269683	Major depression	phenotype
303	umls	C0392025	Enlargement abdomen	phenotype
304	umls	C0000731	Abdominal distension	phenotype
305	umls	C0392171	Influenza-like symptoms	phenotype
306	umls	C0521839	Influenza like illness	phenotype
307	umls	C0392386	Platelet count decreased	phenotype
308	umls	C0424295	Hyperkinesia	phenotype
309	umls	C0428977	Bradycardia	phenotype
310	umls	C0521491	Application site pain	phenotype
311	umls	C0858797	Instillation site pain	phenotype
312	umls	C0860239	Catheter related infection	phenotype
313	umls	C1619702	Device related infection	phenotype
314	umls	C1141861	Procedural complication	phenotype
315	umls	C1285577	Acute confusional state	phenotype
316	umls	C2830004	Somnolence	phenotype
317	pubchem.compound	5280363	Dinoprost	approved drug
318	umls	C0002631	Amniotic cavity infection	phenotype
319	umls	C0015944	Premature rupture of membranes	phenotype
320	umls	C0410959	Foetal acidosis	phenotype
321	pubchem.compound	175	Acetate	experimental drug
322	umls	C0001122	Acidosis	phenotype
323	umls	C0020488	Hypernatraemia	phenotype
324	pubchem.compound	187	Acetylcholine	approved drug
325	umls	C0010037	Corneal oedema	phenotype
326	umls	C0010038	Corneal opacity	phenotype
327	umls	C0948284	Corneal decompensation	phenotype
328	pubchem.compound	447916	9-Beta-D-Xylofuranosyl-Adenine	experimental drug
329	umls	C0003578	Apnoea	phenotype
330	umls	C0004245	Atrioventricular block	phenotype
331	umls	C0013144	Drowsiness	phenotype
332	umls	C0020578	Hyperventilation	phenotype
333	umls	C0027424	Nasal congestion	phenotype
334	umls	C0028643	Numbness	phenotype
335	umls	C0278134	Sensory loss	phenotype
336	umls	C0033036	Supraventricular extrasystoles	phenotype
337	umls	C0036454	Scotoma	phenotype
338	umls	C0037188	Sinoatrial block	phenotype
339	umls	C2747891	Device capturing issue	phenotype
340	umls	C0038454	Cerebrovascular accident	phenotype
341	umls	C0039239	Sinus tachycardia	phenotype
342	umls	C0040264	Tinnitus	phenotype
343	umls	C0040479	Torsade de pointes	phenotype
344	umls	C0042510	Ventricular fibrillation	phenotype
345	umls	C0042514	Ventricular tachycardia	phenotype
346	umls	C0085606	Micturition urgency	phenotype
347	umls	C0042023	Pollakiuria	phenotype
348	umls	C0085612	Ventricular arrhythmia	phenotype
349	umls	C0085614	Atrioventricular block first degree	phenotype
350	umls	C0085624	Burning sensation	phenotype
351	umls	C0085633	Mood swings	phenotype
352	umls	C0233472	Affect lability	phenotype
353	umls	C0151517	Atrioventricular block complete	phenotype
354	umls	C0151636	Ventricular extrasystoles	phenotype
355	umls	C0151699	Haemorrhage intracranial	phenotype
356	umls	C0151740	Intracranial pressure increased	phenotype
357	umls	C0151744	Myocardial ischaemia	phenotype
358	umls	C0162297	Respiratory arrest	phenotype
359	umls	C0220870	Lightheadedness	phenotype
360	umls	C0232124	Skipped beats	phenotype
361	umls	C0340464	Extrasystoles	phenotype
362	umls	C0233485	Apprehension	phenotype
363	umls	C0235004	Head pressure	phenotype
364	umls	C0235169	Excitability	phenotype
365	umls	C0235706	Back distress	phenotype
366	umls	C0236071	Throat tightness	phenotype
367	umls	C0240327	Taste metallic	phenotype
368	umls	C0264906	Atrioventricular block second degree	phenotype
369	umls	C0438716	Chest pressure	phenotype
370	umls	C0494475	Tonic-clonic seizures	phenotype
371	umls	C0014549	Grand mal convulsion	phenotype
372	umls	C0497247	Blood pressure increased	phenotype
373	umls	C0520886	Electrocardiogram ST segment elevation	phenotype
374	umls	C0520887	Electrocardiogram ST segment depression	phenotype
375	umls	C0541782	Sinus arrest	phenotype
376	umls	C0750194	Non-sustained ventricular tachycardia	phenotype
377	umls	C0854303	Limb discomfort	phenotype
378	umls	C0857153	Nodal block	phenotype
379	umls	C0858924	General discomfort	phenotype
380	umls	C0948296	Ear discomfort	phenotype
381	umls	C1096250	Gastrointestinal discomfort	phenotype
382	umls	C1956346	Coronary artery disease	phenotype
383	umls	C2242996	Tingling sensation	phenotype
384	pubchem.compound	439507	D-Allopyranose	experimental drug
385	umls	C0000833	Abscess	phenotype
386	umls	C0007682	Central nervous system disorder	phenotype
387	umls	C0009421	Coma	phenotype
388	umls	C0018802	Cardiac failure congestive	phenotype
389	umls	C0019054	Haemolysis	phenotype
390	umls	C0020621	Hypokalaemia	phenotype
391	umls	C0022107	Irritability	phenotype
392	umls	C0027540	Necrosis	phenotype
393	umls	C0031542	Phlebitis	phenotype
394	umls	C0036104	Salivation	phenotype
395	umls	C0037036	Salivary hypersecretion	phenotype
396	umls	C0040046	Thrombophlebitis	phenotype
397	umls	C0042487	Venous thrombosis	phenotype
398	umls	C0423153	Lacrimation	phenotype
399	umls	C0152227	Lacrimation increased	phenotype
400	umls	C0542203	Water retention	phenotype
401	umls	C0268000	Fluid retention	phenotype
402	pubchem.compound	149351	Alprostadil	approved drug
403	umls	C0002884	Hypochromic anaemia	phenotype
404	umls	C0003460	Anuria	phenotype
405	umls	C0004690	Balanitis	phenotype
406	umls	C0012691	Joint dislocation	phenotype
407	umls	C0013491	Ecchymosis	phenotype
408	umls	C0016059	Fibrosis	phenotype
409	umls	C0016658	Fracture	phenotype
410	umls	C0016655	Multiple fractures	phenotype
411	umls	C0018944	Haematoma	phenotype
412	umls	C0019294	Inguinal hernia	phenotype
413	umls	C0020433	Hyperbilirubinaemia	phenotype
414	umls	C0020440	Hypercapnia	phenotype
415	umls	C0860713	Carbon dioxide increased	phenotype
416	umls	C0020443	Hypercholesterolaemia	phenotype
417	umls	C0020452	Hyperaemia	phenotype
418	umls	C0020456	Hyperglycaemia	phenotype
419	umls	C0020557	Hypertriglyceridaemia	phenotype
420	umls	C0853692	Blood triglycerides increased	phenotype
421	umls	C0020564	Hypertrophy	phenotype
422	umls	C0020615	Hypoglycaemia	phenotype
423	umls	C0020672	Body temperature decreased	phenotype
424	umls	C0413252	Hypothermia	phenotype
425	umls	C0023222	Leg pain	phenotype
426	umls	C0030196	Pain in extremity	phenotype
427	umls	C0026961	Mydriasis	phenotype
428	umls	C0028259	Nodule	phenotype
429	umls	C0030794	Pelvic pain	phenotype
430	umls	C0030846	Penis disorder	phenotype
431	umls	C0030848	Peyronie's disease	phenotype
432	umls	C0031154	Peritonitis	phenotype
433	umls	C0031538	Tight foreskin	phenotype
434	umls	C0345326	Phimosis	phenotype
435	umls	C0032319	Pneumopericardium	phenotype
436	umls	C0033117	Priapism	phenotype
437	umls	C0033575	Prostatic disorder	phenotype
438	umls	C0033581	Prostatitis	phenotype
439	umls	C0036679	Separation	phenotype
440	umls	C1619718	Partner stress	phenotype
441	umls	C0037286	Neoplasm skin	phenotype
442	umls	C0037859	Spermatocele	phenotype
443	umls	C0038999	Swelling	phenotype
444	umls	C0039240	Supraventricular tachycardia	phenotype
445	umls	C0039242	Tachyphylaxis	phenotype
446	umls	C0039584	Testicular disorder	phenotype
447	umls	C0039591	Testicular pain	phenotype
448	umls	C0041912	Upper respiratory tract infection	phenotype
449	umls	C0041969	Urethral disorder	phenotype
450	umls	C0043246	Laceration	phenotype
451	umls	C0043251	Trauma	phenotype
452	umls	C0151605	Injection site swelling	phenotype
453	umls	C0151609	Scrotal oedema	phenotype
454	umls	C0151698	Injection site haemorrhage	phenotype
455	umls	C0151734	Injection site inflammation	phenotype
456	umls	C0156308	Penile oedema	phenotype
457	umls	C0178703	Hypertrophic osteoarthropathy	phenotype
458	umls	C0231451	Joint hyperextension	phenotype
459	umls	C0231835	Tachypnoea	phenotype
460	umls	C0231837	Respiratory rate decreased	phenotype
461	umls	C0233973	Painful erection	phenotype
462	umls	C0235063	Respiratory depression	phenotype
463	umls	C0855775	Pulmonary function test decreased	phenotype
464	umls	C0235129	Feeling strange	phenotype
465	umls	C0236083	Burning feeling vagina	phenotype
466	umls	C1963790	Vulvovaginal burning sensation	phenotype
467	umls	C0240717	Perineal pain	phenotype
468	umls	C0241558	Urethral haemorrhage	phenotype
469	umls	C0241863	Diabetic	phenotype
470	umls	C0011849	Diabetes mellitus	phenotype
471	umls	C0268919	Scrotal disorder	phenotype
472	umls	C0332575	Redness	phenotype
473	umls	C0340279	Ventricular hypertrophy	phenotype
474	umls	C0427008	Stiffness	phenotype
475	umls	C0476273	Respiratory distress	phenotype
476	umls	C0497481	Penile pain	phenotype
477	umls	C0518988	Tooth abscess	phenotype
478	umls	C0520962	Pain localised	phenotype
479	umls	C0521508	Injection site bruising	phenotype
480	umls	C0521845	Drug effect decreased	phenotype
481	umls	C0522061	Abdominal pain localised	phenotype
482	umls	C0542008	Injection site haematoma	phenotype
483	umls	C0549209	Feeling jittery	phenotype
484	umls	C0750466	Yeast infection	phenotype
485	umls	C0026946	Fungal infection	phenotype
486	umls	C0852908	Drug ineffective	phenotype
487	umls	C0852995	Injection site pruritus	phenotype
488	umls	C0853714	Application site pruritus	phenotype
489	umls	C0853813	Local reaction	phenotype
490	umls	C0863113	Hypotension symptomatic	phenotype
491	umls	C0877267	Peritonsillitis	phenotype
492	umls	C0877377	Skin tear	phenotype
493	umls	C0948873	Flu symptoms	phenotype
494	umls	C1504465	Device malfunction	phenotype
495	umls	C2004489	Regurgitation	phenotype
496	umls	C2242621	Erection prolonged	phenotype
497	umls	C0541941	Erection increased	phenotype
498	umls	C2937350	Abnormal ejaculation	phenotype
499	umls	C0235969	Ejaculation disorder	phenotype
500	umls	C2937358	Cerebral haemorrhage	phenotype
501	umls	C2938970	Penile curvature	phenotype
502	umls	C2938972	Penile haematoma	phenotype
503	umls	C3665386	Abnormal vision	phenotype
504	umls	C3665347	Visual impairment	phenotype
505	umls	C0005411	Atresia biliary	phenotype
506	umls	C0266241	Congenital absence of bile ducts	phenotype
507	umls	C0025958	Microcephaly	phenotype
508	pubchem.compound	222	ammonia	chemical
509	pubchem.compound	71070	D-Arginine	experimental drug
510	umls	C0002895	Sickle cell anaemia	phenotype
511	umls	C0006114	Edema cerebral	phenotype
512	umls	C0008301	Choking	phenotype
513	umls	C0027429	Nasal obstruction	phenotype
514	umls	C0151799	Skin necrosis	phenotype
515	umls	C0221201	Rash macular	phenotype
516	umls	C0549433	Surgical intervention	phenotype
517	umls	C0543467	Surgery	phenotype
518	umls	C0750876	Phlebitis superficial	phenotype
519	umls	C1168149	Perioral tingling	phenotype
520	umls	C0521591	Paraesthesia oral	phenotype
521	pubchem.compound	244	Benzyl alcohol	approved drug
522	umls	C0034212	Pyoderma	phenotype
523	umls	C1323189	Dermatitis infected	phenotype
524	umls	C0221244	Dandruff	phenotype
525	umls	C0234943	Application site anaesthesia	phenotype
526	umls	C0235266	Eye irritation	phenotype
527	umls	C0521495	Application site rash	phenotype
528	umls	C0701836	Thermal burn	phenotype
529	umls	C0877098	Application site dryness	phenotype
530	umls	C1142498	Application site excoriation	phenotype
531	umls	C1696574	Application site erosion	phenotype
532	pubchem.compound	247	Glycine betaine	approved drug
533	umls	C0017675	Glossitis	phenotype
534	umls	C0019880	Homocystinuria	phenotype
535	umls	C0031212	Personality disorder	phenotype
536	umls	C0037317	Sleep disturbance	phenotype
537	umls	C0851578	Sleep disorder	phenotype
538	umls	C0040435	Tooth disorder	phenotype
539	umls	C0042024	Urinary incontinence	phenotype
540	umls	C0042075	Urinary tract disorder	phenotype
541	umls	C0162429	Malnutrition	phenotype
542	umls	C0235309	Upset stomach	phenotype
543	umls	C0268621	Hypermethioninaemia	phenotype
544	umls	C0541799	Bad taste	phenotype
545	umls	C0548823	Distress gastrointestinal	phenotype
546	umls	C0700198	Aspiration	phenotype
547	pubchem.compound	271	Calcium cation	experimental drug
548	umls	C0006663	Calcinosis	phenotype
549	umls	C0011206	Delirium	phenotype
550	umls	C0085618	Venospasm	phenotype
551	umls	C0085616	Vasospasm	phenotype
552	umls	C0085628	Stupor	phenotype
553	umls	C0549249	Depressed level of consciousness	phenotype
554	umls	C0522171	Sense of oppression	phenotype
555	umls	C1328540	Peripheral vasodilatation	phenotype
556	umls	C0595862	Vasodilatation	phenotype
557	umls	C3267206	Chalky taste	phenotype
558	pubchem.compound	297	Activated charcoal	approved drug
559	umls	C0001883	Airway obstruction NOS	phenotype
560	umls	C0600260	Obstructive airways disorder	phenotype
561	umls	C0006272	Obliterative bronchiolitis	phenotype
562	umls	C0021843	Intestinal obstruction	phenotype
563	umls	C0236124	Gastrointestinal obstruction	phenotype
564	pubchem.compound	5959	Chloramphenicol	approved drug
565	umls	C0001824	Agranulocytosis	phenotype
566	umls	C0002874	Aplastic anaemia	phenotype
567	umls	C0014356	Enterocolitis	phenotype
568	umls	C0018939	Blood disorder	phenotype
569	umls	C0023418	Leukaemia	phenotype
570	umls	C0024790	Paroxysmal nocturnal haemoglobinuria	phenotype
571	umls	C0027813	Neuritis	phenotype
572	umls	C0041466	Typhoid fever	phenotype
573	umls	C0151773	Bone marrow depression	phenotype
574	umls	C0155169	Ocular hyperaemia	phenotype
575	umls	C0014236	Endophthalmitis	phenotype
576	umls	C0178416	Hypoplastic anaemia	phenotype
577	umls	C0221203	Rash vesicular	phenotype
578	umls	C0221477	Vasomotor collapse	phenotype
579	umls	C0259756	Jarisch-Herxheimer reaction	phenotype
580	umls	C0270276	Grey syndrome neonatal	phenotype
581	umls	C0270996	Eye swelling	phenotype
582	umls	C0425492	Respiration irregularity	phenotype
583	umls	C0035204	Respiratory disorder	phenotype
584	umls	C0542184	Reaction gastrointestinal	phenotype
585	umls	C0687133	Drug interaction	phenotype
586	umls	C0853040	Reaction to drug excipients	phenotype
587	umls	C1368107	Bone marrow aplastic	phenotype
588	umls	C1761613	Conjunctival hyperaemia	phenotype
589	pubchem.compound	221493	Cholic Acid	approved drug
590	umls	C0014869	Reflux esophagitis	phenotype
591	umls	C0017168	Gastrooesophageal reflux disease	phenotype
592	umls	C0022346	Jaundice	phenotype
593	umls	C0037284	Skin lesion	phenotype
594	umls	C0438717	Transaminases increased	phenotype
595	umls	C0859350	Serum transaminase increased	phenotype
596	pubchem.compound	305	Choline	approved drug
597	pubchem.compound	311	Citric acid	approved drug
598	umls	C0020598	Hypocalcaemia	phenotype
