chembl_id	drug_group	drugbank_id	inchikey	name	pubchem_id	smiles
CHEMBL1252	approved	DB00106	AIWRTTMUVOZGPW-HSPKUQOVSA-N	Abarelix	16131215	CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
CHEMBL82202	approved	DB00114	NGVDGCNFYWLIFO-UHFFFAOYSA-N	Pyridoxal phosphate	1051	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
CHEMBL2110563	approved	DB00115	RMRCNWBMXRMIRW-WZHZPDAFSA-L	Cyanocobalamin	70678590	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co]
CHEMBL2021342	nutraceutical	DB00116	MSTNYGQPCMXVAQ-KIYNQFGBSA-N	Tetrahydrofolic acid	91443	C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CHEMBL17962	approved	DB00117	HNDVDQJCIGZPNO-YFKPBYRVSA-N	Histidine	6274	C1=C(NC=N1)CC(C(=O)O)N
CHEMBL1088977	approved	DB00118	MEFKEPWMEQBLKI-AIRLBKTGSA-N	Ademetionine	34755	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
CHEMBL1162144	approved	DB00119	LCTONWCANYUPML-UHFFFAOYSA-N	Pyruvic acid	1060	CC(=O)C(=O)O
CHEMBL301523	approved	DB00120	COLNVLDHVKWLRT-QMMMGPOBSA-N	L-Phenylalanine	6140	C1=CC=C(C=C1)CC(C(=O)O)N
CHEMBL857	approved	DB00121	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	Biotin	171548	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
CHEMBL920	approved	DB00122	OEYIOHPDSNJKLS-UHFFFAOYSA-N	Choline	305	C[N+](C)(C)CCO
CHEMBL8085	approved	DB00123	KDXKERNSBIXSRK-YFKPBYRVSA-N	L-Lysine	5962	C(CCN)CC(C(=O)O)N
CHEMBL1485	approved	DB00125	ODKSFYDXXFIFQN-BYPYZUCNSA-N	L-Arginine	6322	C(CC(C(=O)O)N)CN=C(N)N
CHEMBL196	approved	DB00126	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	Ascorbic acid	54670067	C(C(C1C(=C(C(=O)O1)O)O)O)O
CHEMBL23194	experimental	DB00127	PFNFFQXMRSDOHW-UHFFFAOYSA-N	Spermine	1103	C(CCNCCCN)CNCCCN
CHEMBL274323	approved	DB00128	CKLJMWTZIZZHCS-REOHCLBHSA-N	Aspartic acid	5960	C(C(C(=O)O)N)C(=O)O
CHEMBL446143	approved	DB00129	AHLPHDHHMVZTML-BYPYZUCNSA-N	Ornithine	6262	C(CC(C(=O)O)N)CN
CHEMBL930	approved	DB00130	ZDXPYRJPNDTMRX-VKHMYHEASA-N	L-Glutamine	5961	C(CC(=O)N)C(C(=O)O)N
CHEMBL752	approved	DB00131	UDMBCSSLTHHNCD-KQYNXXCUSA-N	Adenosine phosphate	6083	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
CHEMBL8739	approved	DB00132	DTOSIQBPPRVQHS-PDBXOOCHSA-N	Alpha-Linolenic Acid	5280934	CCC=CCC=CCC=CCCCCCCCC(=O)O
CHEMBL11298	approved	DB00133	MTCFGRXMJLQNBG-REOHCLBHSA-N	Serine	5951	C(C(C(=O)O)N)O
CHEMBL42336	approved	DB00134	FFEARJCKVFRZRR-BYPYZUCNSA-N	Methionine	6137	CSCCC(C(=O)O)N
CHEMBL925	approved	DB00135	OUYCCCASQSFEME-QMMMGPOBSA-N	Tyrosine	6057	C1=CC(=CC=C1CC(C(=O)O)N)O
CHEMBL846	approved	DB00136	GMRQFYUYWCNGIN-NKMMMXOESA-N	Calcitriol	5280453	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
CHEMBL173929	approved	DB00137	KBPHJBAIARWVSC-RGZFRNHPSA-N	Lutein	5281243	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
CHEMBL590540	approved	DB00138	LEVWYRKDKASIDU-IMJSIDKUSA-N	Cystine	67678	C(C(C(=O)O)N)SSCC(C(=O)O)N
CHEMBL576	approved	DB00139	KDYFGRWQOYBRFD-UHFFFAOYSA-N	Succinic acid	1110	C(CC(=O)O)C(=O)O
CHEMBL1534	approved	DB00140	AUNGANRZJHBGPY-SCRDCRAPSA-N	Riboflavin	493570	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
CHEMBL447878	approved	DB00141	MBLBDJOUHNCFQT-LXGUWJNJSA-N	N-Acetylglucosamine	1738118	CC(=O)NC(C=O)C(C(C(CO)O)O)O
CHEMBL575060	approved	DB00142	WHUUTDBJXJRKMK-VKHMYHEASA-N	Glutamic Acid	33032	C(CC(=O)O)C(C(=O)O)N
CHEMBL1543	approved	DB00143	RWSXRVCMGQZWBV-WDSKDSINSA-N	Glutathione	124886	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
	approved	DB00144	UNJJBGNPUUVVFQ-ZJUUUORDSA-N	Phosphatidyl serine	6323481	CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(C(=O)O)N
CHEMBL773	approved	DB00145	DHMQDGOQFOQNFH-UHFFFAOYSA-N	Glycine	750	C(C(=O)O)N
CHEMBL1040	approved	DB00146	JWUBBDSIWDLEOM-DTOXIADCSA-N	Calcifediol	5283731	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
CHEMBL102970	experimental	DB00147	RADKZDMFGJYCBB-UHFFFAOYSA-N	Pyridoxal	1050	CC1=NC=C(C(=C1O)C=O)CO
CHEMBL283800	approved	DB00148	CVSVTCORWBXHQV-UHFFFAOYSA-N	Creatine	586	CN(CC(=O)O)C(=N)N
CHEMBL291962	approved	DB00149	ROHFNLRQFUQHCH-YFKPBYRVSA-N	L-Leucine	6106	CC(C)CC(C(=O)O)N
CHEMBL54976	approved	DB00150	QIVBCDIJIAJPQS-VIFPVBQESA-N	L-Tryptophan	6305	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
CHEMBL863	approved	DB00151	XUJNEKJLAYXESH-REOHCLBHSA-N	L-Cysteine	5862	C(C(C(=O)O)N)S
CHEMBL1547	approved	DB00152	JZRWCGZRTZMZEH-UHFFFAOYSA-N	Thiamine	1130	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
CHEMBL1536	approved	DB00153	MECHNRXZTMCUDQ-RKHKHRCZSA-N	Ergocalciferol	5280793	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
CHEMBL465183	investigational	DB00154	HOBAELRKJCKHQD-QNEBEIHSSA-N	Dihomo-gamma-linolenic acid	5280581	CCCCCC=CCC=CCC=CCCCCCCC(=O)O
CHEMBL444814	approved	DB00155	RHGKLRLOHDJJDR-BYPYZUCNSA-N	L-Citrulline	9750	C(CC(C(=O)O)N)CNC(=O)N
CHEMBL291747	approved	DB00156	AYFVYJQAPQTCCC-GBXIJSLDSA-N	L-Threonine	6288	CC(C(C(=O)O)N)O
	approved	DB00157	BOPGDPNILDQYTO-NNYOXOHSSA-N	NADH	439153	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
CHEMBL1622	approved	DB00158	OVBPIULPVIDEAO-LBPRGKRZSA-N	Folic acid	6037	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
CHEMBL460026	approved	DB00159	JAZBEHYOTPTENJ-JLNKQSITSA-N	Icosapent	446284	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
CHEMBL279597	approved	DB00160	QNAYBMKLOCPYGJ-REOHCLBHSA-N	L-Alanine	5950	CC(C(=O)O)N
CHEMBL43068	approved	DB00161	KZSNJWFQEVHDMF-BYPYZUCNSA-N	L-Valine	6287	CC(C)C(C(=O)O)N
CHEMBL986	approved	DB00162	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	Vitamin A	445354	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
CHEMBL47	approved	DB00163	GVJHHUAWPYXKBD-IEOSBIPESA-N	Vitamin E	14985	CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
CHEMBL1364	approved	DB00165	LXNHXLLTXMVWPM-UHFFFAOYSA-N	Pyridoxine	1054	CC1=NC=C(C(=C1O)CO)CO
CHEMBL134342	approved	DB00166	AGBQKNBQESQNJD-SSDOTTSWSA-N	Lipoic Acid	6112	C1CSSC1CCCCC(=O)O
CHEMBL1233584	approved	DB00167	AGPKZVBTJJNPAG-WHFBIAKZSA-N	Isoleucine	6306	CCC(C)C(C(=O)O)N
CHEMBL171679	investigational	DB00168	IAOZJIPTCAWIRG-QWRGUYRKSA-N	Aspartame	134601	COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
CHEMBL1042	approved	DB00169	QYSXJUFSXHHAJI-YRZJJWOYSA-N	Cholecalciferol	5280795	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
CHEMBL590	approved	DB00170	MJVAVZPDRWSRRC-UHFFFAOYSA-N	Menadione	4055	CC1=CC(=O)C2=CC=CC=C2C1=O
CHEMBL14249	investigational	DB00171	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	ATP	5957	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
CHEMBL54922	approved	DB00172	ONIBWKKTOPOVIA-BYPYZUCNSA-N	Proline	145742	C1CC(NC1)C(=O)O
CHEMBL226345	approved	DB00173	GFFGJBXGBJISGV-UHFFFAOYSA-N	Adenine	190	C1=NC2=NC=NC(=C2N1)N
CHEMBL58832	approved	DB00174	DCXYFEDJOCDNAF-REOHCLBHSA-N	Asparagine	6267	C(C(C(=O)O)N)C(=O)N
CHEMBL1144	approved	DB00175	TUZYXOIXSAXUGO-PZAWKZKUSA-N	Pravastatin	54687	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
CHEMBL814	approved	DB00176	CJOFXWAVKWHTFT-XSFVSMFZSA-N	Fluvoxamine	3404	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
CHEMBL1069	approved	DB00177	ACWBQPMHZXGDFX-QFIPXVFZSA-N	Valsartan	60846	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
CHEMBL1168	approved	DB00178	HDACQVRGBOVJII-JBDAPHQKSA-N	Ramipril	5362129	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
CHEMBL313972	approved	DB00179	HCZKYJDFEPMADG-TXEJJXNPSA-N	Masoprocol	71398	CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
CHEMBL1512	approved	DB00180	XSFJVAJPIHIPKU-XWCQMRHXSA-N	Flunisolide	82153	CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
CHEMBL701	approved	DB00181	KPYSYYIEGFHWSV-UHFFFAOYSA-N	Baclofen	2284	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CHEMBL405	approved	DB00182	KWTSXDURSIMDCE-UHFFFAOYSA-N	Amphetamine	3007	CC(CC1=CC=CC=C1)N
CHEMBL1328	approved	DB00183	NEYNJQRKHLUJRU-DZUOILHNSA-N	Pentagastrin	9853654	CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N
CHEMBL3	approved	DB00184	SNICXCGAKADSCV-JTQLQIEISA-N	Nicotine	89594	CN1CCCC1C2=CN=CC=C2
	approved	DB00185	WUTYZMFRCNBCHQ-LHIURRSHSA-N	Cevimeline	25137844	CC1OC2(CN3CCC2CC3)CS1
CHEMBL580	approved	DB00186	DIWRORZWFLOCLC-UHFFFAOYSA-N	Lorazepam	3958	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
CHEMBL768	approved	DB00187	AQNDDEOPVVGCPG-UHFFFAOYSA-N	Esmolol	59768	CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
CHEMBL325041	approved	DB00188	GXJABQQUPOEUTA-RDJZCZTQSA-N	Bortezomib	387447	B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
CHEMBL591	approved	DB00189	ZEHYJZXQEQOSON-AATRIKPKSA-N	Ethchlorvynol	5281077	CCC(C=CCl)(C#C)O
CHEMBL1201236	approved	DB00190	TZFNLOMSOLWIDK-JTQLQIEISA-N	Carbidopa	34359	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
CHEMBL1574	approved	DB00191	DHHVAGZRUROJKS-UHFFFAOYSA-N	Phentermine	4771	CC(C)(CC1=CC=CC=C1)N
CHEMBL1201242	approved	DB00192	UCEWGESNIULAGX-UHFFFAOYSA-N	Indecainide	52195	CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N
CHEMBL1066	approved	DB00193	TVYLLZQTGLZFBW-ZBFHGGJFSA-N	Tramadol	33741	CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
CHEMBL1090	approved	DB00194	OIRDTQYFTABQOQ-UHTZMRCNSA-N	Vidarabine	21704	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
CHEMBL423	approved	DB00195	NWIUTZDMDHAVTP-UHFFFAOYSA-N	Betaxolol	2369	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CHEMBL106	approved	DB00196	RFHAOTPXVQNOHP-UHFFFAOYSA-N	Fluconazole	3365	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
CHEMBL408	investigational	DB00197	GXPHKUHSUJUWKP-UHFFFAOYSA-N	Troglitazone	5591	CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
CHEMBL1229	approved	DB00198	VSZGPKBBMSAYNT-RRFJBIMHSA-N	Oseltamivir	65028	CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
CHEMBL532	approved	DB00199	ULGZDMOVFRHVEP-RWJQBGPGSA-N	Erythromycin	12560	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
CHEMBL2103737	approved	DB00200	YOZNUFWCRFCGIH-WZHZPDAFSA-K	Hydroxocobalamin	70678542	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]
CHEMBL113	approved	DB00201	RYYVLZVUVIJVGH-UHFFFAOYSA-N	Caffeine	2519	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CHEMBL703	approved	DB00202	AXOIZCJOOAYSMI-UHFFFAOYSA-N	Succinylcholine	5314	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
CHEMBL192	approved	DB00203	BNRNXUUZRGQAQC-UHFFFAOYSA-N	Sildenafil	5212	CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
CHEMBL473	approved	DB00204	IXTMWRCNAAVVAI-UHFFFAOYSA-N	Dofetilide	71329	CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
CHEMBL36	approved	DB00205	WKSAUQYGYAYLPV-UHFFFAOYSA-N	Pyrimethamine	4993	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
CHEMBL772	approved	DB00206	QEVHRUUCFGRFIF-MDEJGZGSSA-N	Reserpine	5770	COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CHEMBL529	approved	DB00207	MQTOSJVFKKJCRP-BICOPXKESA-N	Azithromycin	447043	CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
CHEMBL833	approved	DB00208	PHWBOXQYWZNQIN-UHFFFAOYSA-N	Ticlopidine	5472	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
CHEMBL1888176	approved	DB00209	OYYDSUSKLWTMMQ-JKHIJQBDSA-N	Trospium	5284632	C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
CHEMBL1265	approved	DB00210	LZCDAPDGXCYOEH-UHFFFAOYSA-N	Adapalene	60164	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
CHEMBL1201212	approved	DB00211	PTKSEFOSCHHMPD-UHFFFAOYSA-N	Midodrine	4195	COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
CHEMBL31601	experimental	DB00212	UXIGZRQVLGFTOU-VQXQMPIVSA-N	Remikiren	6324659	CC(C)(C)S(=O)(=O)CC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(C(C4CC4)O)O
CHEMBL1502	approved	DB00213	IQPSEEYGBUAQFF-UHFFFAOYSA-N	Pantoprazole	4679	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
CHEMBL1148	approved	DB00214	NGBFQHCMQULJNZ-UHFFFAOYSA-N	Torasemide	41781	CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
CHEMBL549	approved	DB00215	WSEQXVZVJXJVFP-UHFFFAOYSA-N	Citalopram	2771	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CHEMBL1510	approved	DB00216	PWVXXGRKLHYWKM-LJQANCHMSA-N	Eletriptan	77993	CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
CHEMBL1201260	approved	DB00217	NIVZHWNOUVJHKV-UHFFFAOYSA-N	Bethanidine	2368	CNC(=NC)NCC1=CC=CC=C1
CHEMBL32	approved	DB00218	FABPRXSRWADJSP-MEDUHNTESA-N	Moxifloxacin	152946	COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
CHEMBL1201286	approved	DB00219	GFRUPHOKLBPHTQ-UHFFFAOYSA-N	Oxyphenonium	5749	CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
CHEMBL584	approved	DB00220	QAGYKUNXZHXKMR-HKWSIXNMSA-N	Nelfinavir	64143	CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
CHEMBL1201213	approved	DB00221	HUYWAWARQUIQLE-UHFFFAOYSA-N	Isoetarine	3762	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
CHEMBL1481	approved	DB00222	WIGIZIANZCJQQY-RUCARUNLSA-N	Glimepiride	3476	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
CHEMBL1201380	approved	DB00223	WXURHACBFYSXBI-XHIJKXOTSA-N	Diflorasone	71415	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
CHEMBL115	approved	DB00224	CBVCZFGXHXORBI-PXQQMZJSSA-N	Indinavir	5362440	CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
	approved	DB00225	HZHFFEYYPYZMNU-UHFFFAOYSA-K	Gadodiamide	24847884	CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3]
CHEMBL1037	approved	DB00226	HPBNRIOWIXYZFK-UHFFFAOYSA-N	Guanadrel	38521	C1CCC2(CC1)OCC(O2)CN=C(N)N
CHEMBL503	approved	DB00227	PCZOHLXUXFIOCF-BXMDZJJMSA-N	Lovastatin	53232	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
CHEMBL1257	approved	DB00228	JPGQOUSTVILISH-UHFFFAOYSA-N	Enflurane	3226	C(C(OC(F)F)(F)F)(F)Cl
CHEMBL1296	approved	DB00229	QYQDKDWGWDOFFU-IUODEOHRSA-N	Cefotiam	43708	CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O
CHEMBL1059	approved	DB00230	AYXYPKUFHZROOJ-ZETCQYMHSA-N	Pregabalin	5486971	CC(C)CC(CC(=O)O)CN
CHEMBL967	approved	DB00231	SEQDDYPDSLOBDC-UHFFFAOYSA-N	Temazepam	5391	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
CHEMBL1577	approved	DB00232	CESYKOGBSMNBPD-UHFFFAOYSA-N	Methyclothiazide	4121	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
CHEMBL1169	approved	DB00233	WUBBRNOQWQTFEX-UHFFFAOYSA-N	Aminosalicylic Acid	4649	C1=CC(=C(C=C1N)O)C(=O)O
