PubchemID,Smiles,DrugbankID
54670067,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Vitamin C
1103,NCCCNCCCCNCCCN,Spermine
5960,N[C@@H](CC(O)=O)C(O)=O,L-Aspartic Acid
6262,NCCC[C@H](N)C(O)=O,L-Ornithine
5961,N[C@@H](CCC(N)=O)C(O)=O,"L-Glutamine', 'D-Glutamine"
6083,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,Adenosine monophosphate
5951,N[C@@H](CO)C(O)=O,L-Serine
6137,CSCC[C@H](N)C(O)=O,L-Methionine
6057,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,"L-Tyrosine', 'D-Tyrosine"
5280453,C[C@H](CCCC(O)(C)C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,"Calcitriol', 'DN-101"
67678,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,L-Cystine
1110,OC(=O)CCC(O)=O,Succinic acid
493570,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Riboflavin
1738118,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,N-Acetyl-D-glucosamine
33032,N[C@@H](CCC(O)=O)C(O)=O,"L-Glutamic Acid', 'D-Glutamic Acid"
124886,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,Glutathione
6323481,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,Phosphatidylserine
750,C(C(=O)O)N,Glycine
5283731,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Calcidiol
1050,CC1=NC=C(CO)C(C=O)=C1O,Pyridoxal
586,CN(CC(O)=O)C(N)=N,Creatine
6106,CC(C)C[C@H](N)C(O)=O,"L-Leucine', 'D-Leucine"
6305,N[C@@H](Cc1cnc2ccccc12)C(O)=O,"L-Tryptophan', 'D-Tryptophan"
5862,N[C@@H](CS)C(O)=O,"L-Cysteine', 'D-Cysteine"
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,Thiamine
5280793,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Ergocalciferol
9750,N[C@@H](CCCNC(N)=O)C(O)=O,L-Citrulline
6288,C[C@@H](O)[C@H](N)C(O)=O,L-Threonine
439153,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,NADH
135398658,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Folic Acid
5950,C[C@H](N)C(O)=O,"L-Alanine', 'D-Alanine"
6287,CC(C)[C@H](N)C(O)=O,L-Valine
14985,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Vitamin E
1054,CC1=NC=C(C(=C1O)CO)CO,Pyridoxine
864,OC(=O)CCCCC1CCSS1,Lipoic Acid
6306,CC[C@H](C)[C@H](N)C(O)=O,L-Isoleucine
134601,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,Aspartame
5280795,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Cholecalciferol
4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Menadione
5957,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,Adenosine triphosphate
145742,OC(=O)[C@@H]1CCCN1,"L-Proline', 'D-Proline"
190,NC1=C2NC=NC2=NC=N1,Adenine
6267,N[C@@H](CC(N)=O)C(O)=O,L-Asparagine
54687,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,Pravastatin
3404,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,Fluvoxamine
60846,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,Valsartan
5362129,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,Ramipril
71398,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,Masoprocol
82153,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,Flunisolide
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Baclofen
3007,CC(CC1=CC=CC=C1)N,Amphetamine
444007,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,Pentagastrin
942,CN1CCCC1C2=CN=CC=C2,Nicotine
25137844,CC1O[C@@]2(CS1)CN1CCC2CC1,Cevimeline
3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,Lorazepam
59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,Esmolol
387447,[H][C@@](CC(C)C)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"Bortezomib', 'N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE"
38101,O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,Carbidopa
4771,CC(C)(CC1=CC=CC=C1)N,Phentermine
52195,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,Indecainide
33741,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,Tramadol
21704,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Vidarabine
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Betaxolol
3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Fluconazole
5591,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,Troglitazone
65028,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,Oseltamivir
12560,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Erythromycin
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine
5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Succinylcholine
135398744,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,Sildenafil
71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Dofetilide
4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Pyrimethamine
5770,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,Reserpine
447043,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,Azithromycin
5472,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,Ticlopidine
5596,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,Trospium
60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,Adapalene
4195,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,Midodrine
5462340,CC(C)(C)S(=O)(=O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,Remikiren
4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,Pantoprazole
41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,Torasemide
77993,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,Eletriptan
152946,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,Moxifloxacin
5749,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,Oxyphenonium
64143,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,"Nelfinavir', 'VRX496"
3762,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,Isoetarine
3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,Glimepiride
71415,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Diflorasone
5362440,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,Indinavir
60754,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],Gadodiamide
38521,NC(N)=NCC1COC2(CCCCC2)O1,Guanadrel
53232,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Lovastatin
3226,C(C(OC(F)F)(F)F)(F)Cl,Enflurane
43708,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,Cefotiam
5486971,CC(C)C[C@H](CN)CC(O)=O,Pregabalin
5391,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,Temazepam
4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,Methyclothiazide
4649,C1=CC(=C(C=C1N)O)C(=O)O,Aminosalicylic Acid
65856,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,Reboxetine
4842,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,Pipobroman
2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,Butabarbital
4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Nevirapine
5353853,ClC1=CC(Cl)=C(CO\N=C(\CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Oxiconazole
5311000,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,Alclometasone
2481,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,Butalbital
20279,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,Cladribine
56959,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,Ranolazine
4075,C1=CC(=C(C=C1N)C(=O)O)O,Mesalazine
1201549,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,Benzatropine
60854,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,Ziprasidone
6540428,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,Methysergide
54746,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,Cabergoline
5905,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,Idoxuridine
2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dapsone
441383,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Terconazole
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Phenytoin
247839,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Medrysone
54671203,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,Doxycycline
3054,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Diethylstilbestrol
54707177,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,Lymecycline
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Clotrimazole
6116,CC(=O)[O-].CC(=O)[O-].[Ca+2],Calcium Acetate
5333,C1=CC(=CC=C1N)S(=O)(=O)N,Sulfanilamide
6234,N[C@@H]1CONC1=O,Cycloserine
135409400,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,Anagrelide
2578,C(CCl)NC(=O)N(CCCl)N=O,Carmustine
5344,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,Sulfisoxazole
4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,Metoprolol
2883,CCN(C1=CC=CC=C1C)C(=O)C=CC,Crotamiton
54676038,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,Dicoumarol
5095,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,Ropinirole
11289,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,Chlorotrianisene
3784,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,Isradipine
2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,Diatrizoate
7741,NCCC1=CC=NN1,Betazole
5284627,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,Topiramate
158781,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,Olmesartan
2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Amsacrine
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,Theophylline
152951,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2,Argatroban
5920,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,Liothyronine
3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,Disopyramide
3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,"Lidocaine', 'lidocaine patch"
4674,NCCC(O)(P(O)(O)=O)P(O)(O)=O,Pamidronate
26987,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Clemastine
441184,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,Acarbose
5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,Venlafaxine
23667301,[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H],Conjugated Estrogens
443958,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O,Amcinonide
54841,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,Atomoxetine
5360373,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,Bleomycin
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Chlorambucil
667484,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,Etomidate
135400182,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Raltitrexed
5288826,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,Morphine
175805,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,Ropivacaine
2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,Bupivacaine
3033538,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,Dapiprazole
135398748,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,Penciclovir
464205,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,Tenofovir
21319,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O,Flucloxacillin
5526,C1CC(CCC1CN)C(=O)O,Tranexamic Acid
150610,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,Ertapenem
5746,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,Mitomycin
8275,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,Talbutal
82146,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,Bexarotene
60753,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,Ibutilide
40839,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,Vindesine
2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,Chlorthalidone
3295,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,Ethoxzolamide
4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,Pentobarbital
3121,CCCC(CCC)C(=O)O,Valproic Acid
60857,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,Zolmitriptan
1983,CC(=O)NC1=CC=C(C=C1)O,Acetaminophen
123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Gefitinib
5284371,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,Codeine
43672,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,Piperacillin
10531,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,Dihydroergotamine
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,Amitriptyline
5790,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,Floxuridine
4659569,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],Tolcapone
9878,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Fluorometholone
62859,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O,Calcium Gluceptate
5284570,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,Hydromorphone
3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Indomethacin
14052,CC[C@@H](CO)NCCN[C@@H](CC)CO,Ethambutol
4091,CN(C)C(=N)N=C(N)N,Metformin
657308,[Br-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N@+]2(C)C(C)C,Ipratropium bromide
4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,Methadone
135398745,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,Olanzapine
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,Atenolol
5353356,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Nitrofural
4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,Omeprazole
1046,C1=CN=C(C=N1)C(=O)N,Pyrazinamide
4167,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,Metixene
2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Cetirizine
5405,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Terfenadine
39186,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,Diltiazem
